,alph_len,dfa_states,dfa_final,dfa_unique_session_id,epsilon,max_EQ,word_prob,noise_type,mistake_prob,extraction_time,extraction_loops,membership_query,dfa_extract_states,dfa_extract_final,dist_dfa_noisy,dist_dfa_extr,dist_noisy_extr
0,12,35,9,35,0.005,250,0.01,noisy_input_DFA,0.005,11.474058866500854,500,3755818,216,73,0.04326988801513268,0.19445996731506687,0.20696942963612452
1,12,35,9,35,0.005,250,0.01,noisy_input_DFA,0.001,12.774730920791626,500,3885584,145,49,0.00891267895856542,0.015255034771776768,0.023633620609229654
2,12,35,9,35,0.005,250,0.01,noisy_input_DFA,0.0005,13.137803316116333,500,3941993,96,28,0.004881944935169261,0.00018359451038243375,0.004698350424786828
3,12,35,9,35,0.005,250,0.01,noisy_input_DFA,0.0001,17.47678256034851,500,4071983,35,9,0.0010431506271729191,0.0,0.0010431506271729191
0,15,27,4,1580,0.005,250,0.01,noisy_input_DFA,0.005,14.329230308532715,500,5323308,234,35,0.024685116441419956,0.09959167667745293,0.10947239941803481
1,15,27,4,1580,0.005,250,0.01,noisy_input_DFA,0.001,16.18218493461609,500,5769051,165,22,0.004982087395377861,0.02422613016546387,0.02825686418886003
2,15,27,4,1580,0.005,250,0.01,noisy_input_DFA,0.0005,17.588188409805298,500,6126872,120,19,0.0025035615052150057,0.0003755342257822509,0.0028790957309972566
3,15,27,4,1580,0.005,250,0.01,noisy_input_DFA,0.0001,25.98918890953064,500,5885267,27,4,0.0005758191461994513,0.0,0.0005758191461994513
0,6,27,2,3158,0.005,250,0.01,noisy_input_DFA,0.005,9.073068857192993,500,2694378,206,9,0.009046202238843554,0.018067368862634957,0.023842250734664238
1,6,27,2,3158,0.005,250,0.01,noisy_input_DFA,0.001,10.601861715316772,500,2800065,122,6,0.002111336869397988,0.0054577640813687125,0.007402196850419034
2,6,27,2,3158,0.005,250,0.01,noisy_input_DFA,0.0005,15.011870622634888,500,2825095,98,4,0.0011432930873815192,7.510684515645016e-05,0.0011683287024336693
3,6,27,2,3158,0.005,250,0.01,noisy_input_DFA,0.0001,0.7223725318908691,55,62129,27,2,0.00016690410034766705,0.0,0.00016690410034766705
0,9,28,17,4421,0.005,250,0.01,noisy_input_DFA,0.005,10.217565774917603,500,3052894,205,118,0.05039669309997807,0.07673416013483993,0.11352816905648312
1,9,28,17,4421,0.005,250,0.01,noisy_input_DFA,0.001,11.23477840423584,500,3088212,160,91,0.010932218572772191,0.008111539276896618,0.018659878418869177
2,9,28,17,4421,0.005,250,0.01,noisy_input_DFA,0.0005,11.86704421043396,500,3259134,96,55,0.005766536667011896,5.841643512168347e-05,0.005808262692098813
3,9,28,17,4421,0.005,250,0.01,noisy_input_DFA,0.0001,16.066820859909058,500,3446659,28,17,0.0010598410372076857,0.0,0.0010598410372076857
0,6,30,10,5945,0.005,250,0.01,noisy_input_DFA,0.005,8.255403995513916,500,2122019,197,60,0.03773701708860752,0.13065252975215377,0.15051411769352613
1,6,30,10,5945,0.005,250,0.01,noisy_input_DFA,0.001,9.252840280532837,500,2167525,104,35,0.008011396816688018,0.0009763889870338522,0.008870952933478504
2,6,30,10,5945,0.005,250,0.01,noisy_input_DFA,0.0005,9.715150117874146,500,2259650,77,24,0.0038805203330832586,0.0012350903425727361,0.005098920265621228
3,6,30,10,5945,0.005,250,0.01,noisy_input_DFA,0.0001,15.980415105819702,500,2653755,36,12,0.0009012821418774021,0.0,0.0009012821418774021
0,15,55,33,7419,0.005,250,0.01,noisy_input_DFA,0.005,11.151377201080322,500,4024483,219,135,0.06722897162004028,0.28040723378909804,0.29239094819406053
1,15,55,33,7419,0.005,250,0.01,noisy_input_DFA,0.001,11.481994390487671,500,4159294,181,110,0.01545531969219397,0.009371665234521504,0.02407591647515097
2,15,55,33,7419,0.005,250,0.01,noisy_input_DFA,0.0005,12.11556100845337,500,4285498,130,77,0.0074188872604538,6.676164013906682e-05,0.007485648900592867
3,15,55,33,7419,0.005,250,0.01,noisy_input_DFA,0.0001,14.206001281738281,500,4301309,59,37,0.00141868485295517,0.0,0.00141868485295517
0,10,23,3,9036,0.005,250,0.01,noisy_input_DFA,0.005,10.632322788238525,500,3902282,229,28,0.01889354415935591,0.09698797271202932,0.10349723262558834
1,10,23,3,9036,0.005,250,0.01,noisy_input_DFA,0.001,11.725375652313232,500,4063560,129,20,0.004130876483604759,0.0007510684515645017,0.004848564115099728
2,10,23,3,9036,0.005,250,0.01,noisy_input_DFA,0.0005,12.789248704910278,500,4002321,111,13,0.0019360875640329377,0.00028373697059103396,0.002219824534623972
3,10,23,3,9036,0.005,250,0.01,noisy_input_DFA,0.0001,0.8437204360961914,55,68603,23,3,0.0003504986107301008,0.0,0.0003504986107301008
0,15,42,39,10352,0.005,250,0.01,noisy_input_DFA,0.005,13.635657787322998,500,5957136,217,205,0.015421938872124435,0.056847536578415396,0.062071634919297375
1,15,42,39,10352,0.005,250,0.01,noisy_input_DFA,0.001,15.093344688415527,500,5963034,130,122,0.002929166961101557,0.005532870926525163,0.008295133787279052
2,15,42,39,10352,0.005,250,0.01,noisy_input_DFA,0.0005,19.953595876693726,500,6747061,127,117,0.0016440053884245204,6.676164013906682e-05,0.0017107670285635872
3,15,42,39,10352,0.005,250,0.01,noisy_input_DFA,0.0001,33.35228943824768,500,6887680,69,64,0.0003671890207648675,0.0,0.0003671890207648675
0,18,29,25,11929,0.005,250,0.01,noisy_input_DFA,0.005,17.063409090042114,500,6091404,236,200,0.026045384859253444,0.10260429568872832,0.11362831151669173
1,18,29,25,11929,0.005,250,0.01,noisy_input_DFA,0.001,19.014840841293335,500,6355817,183,152,0.005891714742272646,0.0006175451712863681,0.0064925695035242485
2,18,29,25,11929,0.005,250,0.01,noisy_input_DFA,0.0005,20.014070749282837,500,6345951,128,103,0.0029708929861884735,0.003947281973222325,0.006868103729306499
3,18,29,25,11929,0.005,250,0.01,noisy_input_DFA,0.0001,28.90804624557495,500,6682690,53,45,0.0005507835311473013,0.0005507835311473013,0.0011015670622946025
0,6,50,3,13584,0.005,250,0.01,noisy_input_DFA,0.005,9.346906423568726,500,2488593,179,17,0.016064519658462954,0.017558311356574572,0.029116420305650516
1,6,50,3,13584,0.005,250,0.01,noisy_input_DFA,0.001,10.35326886177063,500,2599534,97,8,0.003379808032040258,6.676164013906682e-05,0.0034465696721793244
2,6,50,3,13584,0.005,250,0.01,noisy_input_DFA,0.0005,10.951690435409546,500,2538319,70,7,0.0017691834636852706,0.0003171177906605674,0.002036230024241538
3,6,50,3,13584,0.005,250,0.01,noisy_input_DFA,0.0001,23.08126997947693,500,3632650,50,3,0.0004172602508691676,0.0,0.0004172602508691676
